GeneSymbol,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9
Myf6,-0.1811882,0.5011396,-0.62418205,-0.8279051,0.11352385,0.11324364,-0.052405983,-0.8171365,0.9324946,0.8699755
Myod1,-0.07615892,0.6486786,-0.65908253,0.7552232,-0.07615892,0.6486786,-0.67379916,0.10942933,-0.090609916,0.018935125
Myog,0.021136656,0.3264686,-0.207569,0.31264538,-0.1998739,0.5430034,-0.05521854,-0.034975585,0.1603446,0.32156533
Mzf1,0.12617993,-0.15153177,0.050002936,-0.42083412,-0.33195153,-0.40036106,0.16565183,-0.2013943,-0.9736341,-0.30188662
Nelfe,0.58983064,0.15598309,0.4015465,-0.48979795,0.5157188,-0.32032114,0.6236437,-0.5240923,0.3079515,0.42413965
Neurod2,-0.43739057,0.08606232,-0.09164151,0.2812497,-0.34731838,0.31235433,-0.2695871,0.31924725,-0.35668296,-0.15545304
Nfatc2,0.21197361,0.03472611,-0.04739006,0.19809712,-0.05313109,0.2327661,0.32450488,0.28362203,-0.12409829,-0.9718976
Nfatc3,0.53897226,0.16433887,0.56778735,0.2567267,0.2617656,0.124400064,0.7686798,0.6510559,-0.08142472,0.15520155
Nfe2L1,0.5629891,-0.33300412,0.5235903,0.3224057,0.1981791,-0.6630682,0.36815083,0.38311583,-0.14423093,-0.12947348
Nfe2L2,0.6800805,0.068124145,0.63509613,0.0013494827,-0.149012,-0.70858634,0.6901376,0.17826004,-0.17525035,-0.4985584
Nfe2L3,0.36624268,-0.284425,0.29038975,-0.32116312,-0.40048915,-0.17941642,0.3686574,-0.38908148,-0.52491164,-0.14534208
Nfib,0.013241105,-1.3757998,-1.2341453,0.55887955,0.055801634,-0.737502,-0.13942856,0.39017928,-0.89822197,-0.4500931
Nfil3,-0.15279645,0.9557985,-1.071524,-1.115704,0.1431396,0.39412564,-0.2484062,-1.6005976,0.49354157,1.0491587
Nfkb1,0.20671433,0.58773315,0.17311499,-0.37593502,0.67930114,0.5850441,0.058339637,-0.8122101,0.6771482,0.97634876
Nfkb2,-0.02988106,0.1392715,-0.25684422,-0.6908689,0.038582902,0.30695128,0.15977338,-0.528716,0.117083326,0.5707915
