Genesymbol	0	1	2	3	4	5	6
Hmga2	326.6313333	65.81163333	49.74506667	35.27896667	46.3349	46.78723333	27.43523333
Hmgb1	57.2204	131.6613333	120.906	135.1853333	119.0463333	96.73766667	94.91316667
Hmgb2	18.60586667	217.0713333	206.2406667	206.2403333	160.5686667	187.613	177.6083333
Hmgn3	75.20136667	137.9003333	132.077	85.96266667	60.00853333	49.95323333	19.6223
Hmgn5	7.9401	21.2681	30.60503333	22.82583333	25.00303333	30.6342	24.8081
Hnrnpab	329.3783333	578.033	508.188	656.383	587.8953333	533.5376667	591.039
Hnrnpd	229.2543333	566.6886667	595.036	597.2496667	474.0013333	458.931	596.1936667
Hnrnpk	813.1776667	1131.713333	1107.983333	1123.84	987.5533333	949.444	1087.426667
Hnrpdl	99.0796	168.972	187.7053333	180.511	126.3373333	129.2403333	141.492
Homez	2.754586667	9.293593333	9.588	9.299186667	8.561386667	8.840673333	9.59091
Hopx	1.198604667	1.520471333	9.894943333	39.6413	36.23733333	18.49816667	4.935973333
Hoxa3	8.799396667	1.623476667	1.103873	0.555475333	0.190281	0.191209333	0.2122903
Hoxa5	16.5321	3.734816667	2.041783333	0.716719333	0.209709367	0.1815987	0.0706575
Hoxb3	3.899393333	2.823056667	1.539856667	0.741482	0.194241333	0.014354367	0.040143667
Hoxb6	9.620396667	1.26474	0.513428333	0.504385667	0.136677867	0.0181798	0.0502899
Hoxb7	5.84029	1.765743333	0.786001	0.382422333	0.185065333	0.103972867	0.274237867
Hoxc4	4.844276667	1.799763333	0.510905	0.579947667	1.091586667	1.717523333	0.1188542
Hoxc5	4.35867	0.400885667	0.059566933	0.055219233	0.037725833	0.031735567	0.043363833
Hoxc6	21.17556667	5.875193333	1.723846667	1.234142	0.196484667	0.160886267	0.123467367
Hoxc8	15.87873333	4.335416667	1.089411667	1.48549	0.202846333	0.024733767	0.154091233
Hoxd8	3.425746667	2.42758	2.405263333	1.035256	0.309450333	0.569754667	0.547170667
Hsf1	29.7492	24.13796667	21.1954	24.62646667	23.9303	25.34853333	18.8664
Ift57	20.67213333	17.07713333	19.7766	21.85903333	30.62606667	26.1323	12.77506667
Ikzf1	0.0324713	0.453842	0.706167667	3.10709	20.41286667	20.7844	1.668737
Ilf2	57.29193333	113.1103333	106.2746667	118.8386667	117.77	123.3706667	106.568
Ilf3	42.72826667	82.47843333	83.1808	76.35173333	75.50013333	86.00093333	89.15943333
Ing2	14.81306667	18.36906667	16.8609	20.11716667	19.85326667	24.22786667	29.3404
Ino80	10.02785667	13.90926667	14.996	13.20023333	10.6623	10.00602667	15.79393333
Irf1	11.5763	3.41034	1.999443333	2.284266667	10.55407	8.048193333	86.41716667
Irf2	7.041606667	9.37382	7.80229	6.734846667	8.194833333	7.383653333	1.716166667
Irf3	48.82386667	36.66656667	38.28616667	31.2883	35.09636667	35.8363	27.29833333
Irf5	4.453603333	5.666206667	1.626973	16.72453333	1.92618	2.532293333	4.867376667
Irf6	0.207562333	1.053310667	5.64704	4.89086	2.99414	4.99009	4.843643333
Irf9	8.809646667	2.644823333	3.383126667	4.12933	4.571166667	4.34026	7.03456
Irx1	11.55156667	5.665763333	2.08052	1.3258	0.273866667	0.1890232	0.624942333
Irx3	6.574863333	1.125148333	0.427293333	0.318148667	0.359227	0.326405	3.63409
Jarid2	3.829936667	15.2103	22.8673	25.24363333	23.49296667	26.69523333	104.5996667
Jdp2	48.4034	11.60646667	5.372963333	2.604513333	1.884093333	3.68252	5.33601
Jun	60.8539	17.376	18.8094	14.42583333	34.468	17.47046667	10.85162333
Junb	78.74306667	18.33043333	15.10526667	22.3175	19.597	17.37243333	11.99633333
Jund	26.0236	13.71813333	11.0609	10.01429667	10.58404667	8.887673333	6.729906667
Kdm1a	51.99076667	85.01143333	97.16443333	94.93466667	108.2556667	97.67496667	140.125
Kdm1b	5.381883333	5.28163	5.984496667	7.278043333	9.606186667	7.83894	5.73463
Kdm2a	32.3569	60.36963333	59.58726667	53.86986667	45.8373	30.91626667	37.68263333
Kdm2b	14.32646667	27.3125	25.82716667	20.62536667	30.40163333	32.6031	45.5183
Kdm3a	11.37243333	23.73493333	24.4502	34.68456667	37.9605	28.53376667	45.478
Kdm5a	15.91386667	31.33423333	34.5782	27.27836667	26.11506667	22.69413333	35.18383333
Kdm5b	28.18623333	21.83293333	27.79	30.97766667	41.62686667	44.05806667	166.9243333
Kdm5c	36.3994	47.091	48.85506667	47.50803333	44.00983333	46.69103333	43.60876667
Kdm6b	11.15703333	13.20196667	17.81703333	17.19963333	25.16913333	18.66783333	16.24643333
Khsrp	25.41686667	36.35163333	36.05173333	40.4942	36.60216667	34.73826667	41.33416667
Klf11	1.637106667	5.015126667	6.134626667	4.04484	6.446873333	7.923013333	7.69502
Klf12	1.973276667	5.936586667	7.392403333	6.512413333	8.945546667	6.61844	5.699753333
Klf13	26.6681	18.85673333	19.61856667	15.98726667	19.79426667	14.84026667	10.05318
Klf15	0.811080333	4.529666667	8.069716667	5.504623333	3.89855	6.769083333	5.129246667
Klf16	17.62446667	18.2922	19.14206667	22.51843333	21.62926667	21.0393	16.63426667
Klf2	16.59756667	0.315778	0.320028667	1.732926667	1.870823333	3.874583333	31.23896667
Klf3	30.85483333	30.84333333	39.9835	49.94716667	43.9417	43.1297	23.93353333
Klf4	61.38026667	380.254	456.6416667	574.398	705.9866667	518.731	43.18616667
Klf5	7.469343333	4.81013	4.88109	3.37035	3.16461	7.465073333	38.4952
Klf6	79.12796667	11.2613	8.48314	13.5096	8.392376667	8.154696667	21.7749
Klf7	6.676256667	6.417056667	5.678913333	3.571053333	1.869686667	2.06441	12.87226667
Klf9	12.7524	13.70733333	20.6245	16.54806667	20.51006667	22.6957	32.5824
Lass2	121.7616667	77.4809	60.99666667	54.81923333	54.0494	54.24893333	41.42623333
Lass4	17.90936667	4.57355	2.596393333	2.044936667	3.415556667	4.708723333	13.87176667
Lass5	70.14706667	43.71716667	43.75013333	49.47356667	52.4064	36.8933	34.0691
Lass6	17.0734	8.324816667	12.43186667	9.052343333	7.41316	7.951706667	6.947203333
Ldb1	94.9063	88.67493333	95.40736667	102.0094333	143.2323333	119.556	88.41446667
