source,target,p-value,model
Klf15,Arhgap11a,3.599071044688351e-20,-1
Klf15,Arhgap11a,3.599071044688351e-20,-1
Hnrnpd,Hars,3.770513248108516e-20,1
Ezh2,Rpa2,3.819277693748999e-20,-1
Crebzf,Mcmbp,4.259405132795749e-20,-1
Vps72,Jtb,4.7715460220530196e-20,-1
Zfpm1,Btd,4.81750875690805e-20,-1
Foxm1,Ckap2,4.83897557481775e-20,-1
Creb3,Gabarapl2,5.658789691117959e-20,-1
Hlf,Ten1,6.064455125220619e-20,-1
Kdm2a,Mast2,6.701707312786839e-20,-1
Zfp281,Rassf8,7.313008723103741e-20,1
Smarca5,Luc7l3,7.66854881881027e-20,-1
Smyd1,Asb8,8.224199560019398e-20,-1
Foxm1,Tpx2,9.360798301391142e-20,-1
Taf10,Slc30a7,9.526037640855412e-20,1
Meox2,Obscn,9.621120376117666e-20,1
Ppp1r8,Hmmr,1.0014424846062654e-19,-1
Pias4,Adck5,1.0056059395390919e-19,-1
Mta1,Abcf2,1.0238442428604702e-19,1
Zfp281,Gmds,1.058632437249062e-19,1
Zbtb20,Hfe,1.1549563857212122e-19,-1
Ing2,Dnajc24,1.171004955688005e-19,-1
Mxd4,Emp2,1.1786839313653154e-19,-1
Etv3,Lgals4,1.3189635325617457e-19,-1
Set,Smc3,1.3496600138406772e-19,1
Xbp1,Irak1,1.4171965311252595e-19,-1
Foxm1,Mcm7,1.5907276387187146e-19,-1
Rbck1,Sec11a,1.603445981302227e-19,-1
Dnmt1,Nusap1,1.7340359789018295e-19,-1
Rfc1,Nmt2,2.0164412532958926e-19,-1
Smyd1,Pacsin3,2.0676038992501788e-19,1
Nr0b2,Ahsg,2.234662859792116e-19,-1
Dnmt1,Ncaph,2.2755661579825213e-19,-1
Taf1,Nop58,2.3362357003750457e-19,1
Prdm4,Nup62,2.7466721067820414e-19,1
