source,target,p-value,model
Maf1,9030625A04Rik,2.3704853645415577e-05,-1
Irf5,Man2b1,2.4023660641737188e-05,-1
Rbbp5,Prim2,2.4732340936001927e-05,-1
Phf5a,Anp32b,2.5030215566020535e-05,-1
Abt1,Ddx21,2.5128904582886285e-05,-1
Pa2g4,Dis3,2.520447851932775e-05,-1
Hnrnpab,Rpl13a,2.557171007167204e-05,-1
Mybbp1a,Erh,2.615232972531048e-05,-1
Zfp691,Elk4,2.7841116317990382e-05,-1
Elk4,Zfp691,2.7841116317996054e-05,-1
Ercc2,Zfp691,2.829250270505759e-05,-1
Zfp691,Ercc2,2.8292502705063974e-05,-1
Hnrnpab,Pprc1,2.8360290252514978e-05,-1
Tfdp1,Dis3,2.8413613316130623e-05,-1
Kdm5b,Herpud1,2.8924214846848106e-05,-1
Atf7,Atp5sl,3.2249818691454855e-05,1
Atf7,Vcpip1,3.254039215310501e-05,1
Tfdp1,Cse1l,3.309719440339759e-05,-1
Sarnp,Topbp1,3.3231642710381715e-05,-1
Sarnp,Nup160,3.356602411164706e-05,-1
Rbbp8,Nsmce2,3.3858407921643384e-05,-1
Mlx,Ccdc56,3.413089563113248e-05,-1
Irf9,Rin3,3.421317165302723e-05,-1
Rbmxl1,Nup155,3.4662830405590897e-05,-1
Irf5,Ly6e,3.4817916682752806e-05,-1
Rela,Uqcrc2,3.5188231931035896e-05,-1
Sarnp,2610029G23Rik,3.537564396854941e-05,-1
Npm1,Srsf1,3.582451534714946e-05,-1
Taf11,Orc5,3.6381729875928714e-05,-1
Pias4,Fam98c,3.75643565953467e-05,-1
Abt1,Rrp15,3.7809544379823734e-05,-1
Nono,Ints5,3.816636648775299e-05,-1
Rxrg,Pgm2,3.8576946430662564e-05,1
Dnajc2,Pold3,3.863646294279074e-05,-1
Ctnnb1,Vps35,3.866551934131692e-05,-1
Hdac1,Snrpg,3.8740704254414224e-05,-1
Klf15,Pex11a,3.9300491720773494e-05,1
Ppp1r8,Mcm2,4.0105590362640524e-05,-1
Pcna,Cdkn2aipnl,4.089978524501487e-05,-1
Gabpa,Mtx2,4.1853322211436325e-05,1
